slope ;  slope.sd ;  slope.p ;  Rsqrd ;  RsqrdAdj ;  slope.ConfInt_0.95 ;  slope.ConfInt_0.99 ;  cor.t ;  cor.df ;  cor.estimate ;  cor.conf_level ;  cor.conf_int_1 ;  cor.conf_int_2 ;  DATA ;  var ;  N ;  Obs ;  N_eff ;  t_eff ;  t_eff_cri ;  conf_2.5 ;  conf_97.5 ;  mean_clima ;  Tmod_Estimate ;  Tmod_Std..Error ;  Tmod_z.value ;  Tmod_Pr...z.. ;  slope.stat_sig ;  ChangeWpY
 3.764819e-01 ;  0.0405538311 ;  1.971803e-20 ;  8.338850e-03 ;   8.242093e-03 ;  0.0794934362 ;  0.1044792040 ;   9.2835092 ;  10249 ;   0.091317303 ;  0.95 ;   0.072086121 ;  0.110480613 ;  All sky cond. ;  SDR ;  10251 ;   6506253.000 ;  4560.78161 ;   4.7385802925 ;  1.960484 ;   8.131267e-04 ;  1.248418e-03 ;   386.6141071 ;   3.764910e-01 ;  0.0604210415 ;   6.231124689 ;  4.630983e-10 ;  100.00000 ;   1.455532e+00
 7.989372e-01 ;  0.6759610162 ;  2.373499e-01 ;  5.743116e-04 ;   1.631945e-04 ;  1.3255192007 ;  1.7425282942 ;   1.1819280 ;   2431 ;   0.023964799 ;  0.95 ;  -0.015789170 ;  0.063643121 ;  All sky cond. ;  Dir. Beam Irrad. ;   2433 ;   1530107.000 ;  1070.23027 ;   2.3380065777 ;  1.962183 ;  -1.441732e-03 ;  5.816564e-03 ;   443.9996776 ;   8.018555e-01 ;  1.0103185235 ;   0.793666051 ;  4.273899e-01 ;   76.26501 ;   3.547279e+00
-2.207968e-04 ;  0.0005437944 ;  6.847291e-01 ;  1.608524e-05 ;  -8.148368e-05 ;  0.0010659434 ;  0.0014009826 ;  -0.4060299 ;  10249 ;  -0.004010641 ;  0.95 ;  -0.023367441 ;  0.015349165 ;  All sky cond. ;  TSI at 1au ;  10251 ;  13951703.492 ;   241.72534 ;  -0.0001449214 ;  1.969826 ;  -3.522975e-06 ;  2.313933e-06 ;  1362.1296140 ;  -2.184360e-04 ;  0.0902639982 ;  -0.002419968 ;  9.980691e-01 ;   31.52709 ;  -3.007539e-03
 8.524873e-01 ;  0.1980145129 ;  1.684046e-05 ;  1.805160e-03 ;   1.707765e-03 ;  0.3881471522 ;  0.5101465911 ;   4.3051760 ;  10249 ;   0.042487172 ;  0.95 ;   0.023147596 ;  0.061794961 ;  All sky cond. ;  Global Radiation raw ;  10251 ;   3960635.023 ;  1716.62107 ;   4.0092160815 ;  1.961347 ;   1.271320e-03 ;  3.396742e-03 ;   516.3779986 ;   8.525462e-01 ;  0.4832316795 ;   1.764259720 ;  7.768826e-02 ;   99.99832 ;   4.402057e+00
-9.557109e-05 ;  0.0003811783 ;  8.020314e-01 ;  6.133559e-06 ;  -9.143634e-05 ;  0.0007471840 ;  0.0009820332 ;  -0.2507254 ;  10249 ;  -0.002476602 ;  0.95 ;  -0.021834170 ;  0.016882822 ;  All sky cond. ;  TCC nearest ;  10251 ;      4171.737 ;  2847.20846 ;  -0.0007444953 ;  1.960798 ;  -2.307385e-06 ;  1.784056e-06 ;     0.8875610 ;  -9.556768e-05 ;  0.0007231127 ;  -0.132161537 ;  8.948565e-01 ;   19.79686 ;  -8.482517e-07
-5.189401e-04 ;  0.0003135480 ;  9.794338e-02 ;  2.671953e-04 ;   1.696509e-04 ;  0.0006146154 ;  0.0008077966 ;  -1.6550579 ;  10249 ;  -0.016346110 ;  0.95 ;  -0.035693429 ;  0.003013459 ;  All sky cond. ;  TCC nearest ;  10251 ;         0.000 ;  4582.91219 ;  -0.0065103442 ;  1.960482 ;  -3.103570e-06 ;  2.619501e-07 ;     0.4105619 ;  -5.189228e-04 ;  0.0004688811 ;  -1.106725795 ;  2.684125e-01 ;   90.20566 ;  -2.130570e-06
 9.723083e-02 ;  0.0134471414 ;  6.243566e-13 ;  1.912074e-02 ;   1.875502e-02 ;  0.0263678124 ;  0.0346622083 ;   7.2305946 ;   2682 ;   0.138277780 ;  0.95 ;   0.100971156 ;  0.175196080 ;  Clear sky cond. ;  SDR ;   2684 ;   1515091.000 ;  1755.17785 ;   0.4758094923 ;  1.961316 ;   1.940163e-04 ;  3.384016e-04 ;   515.4371396 ;   9.724611e-02 ;  0.0163648726 ;   5.942368999 ;  2.809321e-09 ;  100.00000 ;   5.011638e-01
 3.266474e-01 ;  0.1147458903 ;  4.541963e-03 ;  1.102391e-02 ;   9.663557e-03 ;  0.2252728528 ;  0.2963437507 ;   2.8467027 ;    727 ;   0.104994804 ;  0.95 ;   0.032630519 ;  0.176264027 ;  Clear sky cond. ;  Dir. Beam Irrad. ;    729 ;    403384.000 ;   373.26223 ;   0.3357321425 ;  1.966340 ;   2.775542e-04 ;  1.511106e-03 ;   742.4112446 ;   3.339944e-01 ;  0.1586064485 ;   2.105805943 ;  3.522121e-02 ;   99.54580 ;   2.425067e+00
-1.724073e-03 ;  0.0010958995 ;  1.157895e-01 ;  9.202422e-04 ;   5.484224e-04 ;  0.0021488915 ;  0.0028248566 ;  -1.5732032 ;   2687 ;  -0.030335494 ;  0.95 ;  -0.068057135 ;  0.007472754 ;  Clear sky cond. ;  TSI at 1au ;   2689 ;   3659784.398 ;   254.29956 ;  -0.0011920393 ;  1.969336 ;  -1.060382e-05 ;  1.163115e-06 ;  1361.7319030 ;  -9.331091e-04 ;  0.0035959802 ;  -0.259486717 ;  7.952597e-01 ;   88.42105 ;  -2.347725e-02
 4.529127e-01 ;  0.2859424988 ;  1.133275e-01 ;  9.328214e-04 ;   5.610063e-04 ;  0.5606895611 ;  0.7370626219 ;   1.5839291 ;   2687 ;   0.030542125 ;  0.95 ;  -0.007265942 ;  0.068262996 ;  Clear sky cond. ;  Global Radiation raw ;   2689 ;   1432816.904 ;    98.06748 ;   0.1192380468 ;  1.984450 ;  -2.950832e-04 ;  2.775149e-03 ;   555.8786249 ;   4.525837e-01 ;  1.4715650288 ;   0.307552655 ;  7.584228e-01 ;   88.66725 ;   2.517645e+00
 4.076868e-01 ;  0.0713787286 ;  1.184744e-08 ;  6.567002e-03 ;   6.365699e-03 ;  0.1399340576 ;  0.1839305585 ;   5.7116011 ;   4935 ;   0.081037043 ;  0.95 ;   0.053261837 ;  0.108686955 ;  Cloudy sky cond. ;  SDR ;   4937 ;   2795178.000 ;  3175.80755 ;   3.5660496011 ;  1.960711 ;   7.330822e-04 ;  1.499335e-03 ;   289.5675475 ;   4.076993e-01 ;  0.0884875140 ;   4.607422034 ;  4.076920e-06 ;  100.00000 ;   1.180529e+00
 4.092706e+00 ;  1.3437677090 ;  2.377061e-03 ;  8.415544e-03 ;   7.508331e-03 ;  2.6366560336 ;  3.4673707463 ;   3.0456944 ;   1093 ;   0.091736275 ;  0.95 ;   0.032672078 ;  0.150161959 ;  Cloudy sky cond. ;  Dir. Beam Irrad. ;   1095 ;    617273.000 ;   708.57211 ;   7.9846521303 ;  1.963318 ;   3.986529e-03 ;  1.842437e-02 ;   180.6236459 ;   4.098237e+00 ;  1.6530007412 ;   2.479271276 ;  1.316511e-02 ;   99.76229 ;   7.392394e+00
 2.011172e-04 ;  0.0007883538 ;  7.986485e-01 ;  1.318753e-05 ;  -1.894440e-04 ;  0.0015455241 ;  0.0020314506 ;   0.2551104 ;   4935 ;   0.003631463 ;  0.95 ;  -0.024266603 ;  0.031523878 ;  Cloudy sky cond. ;  TSI at 1au ;   4937 ;   6719298.765 ;   262.40512 ;   0.0001433914 ;  1.969046 ;  -3.680861e-06 ;  4.782142e-06 ;  1361.9070500 ;   2.038397e-04 ;  0.0034183771 ;   0.059630536 ;  9.524499e-01 ;   20.13515 ;   2.739030e-03
