slope ;  slope.sd ;  slope.p ;  Rsqrd ;  RsqrdAdj ;  cor.t ;  cor.df ;  cor.estimate ;  cor.conf_level ;  cor.conf_int_1 ;  cor.conf_int_2 ;  DATA ;  Season ;  var ;  N_eff ;  t_eff ;  t_eff_cri ;  conf_2.5 ;  conf_97.5 ;  slope.stat_sig
 2.99207468 ;  2.23625446 ;  0.2385251191 ;  0.263645053 ;   0.116374063 ;   1.3379849 ;   5 ;   0.51346378 ;  0.95 ;  -0.39064382 ;   0.91335621 ;  All sky cond. ;  Winter ;  Dir. Beam Irrad. ;   9.723933 ;  1.393241e-08 ;  2.236743 ;  -0.001100048 ;  0.001525347 ;  76.14749
-1.89161745 ;  0.81757451 ;  0.0599645916 ;  0.471513759 ;   0.383432719 ;  -2.3136943 ;   6 ;  -0.68666859 ;  0.95 ;  -0.93763953 ;   0.03488379 ;  All sky cond. ;  Spring ;  Dir. Beam Irrad. ;   6.949083 ;  2.992614e-09 ;  2.368141 ;  -0.001100048 ;  0.001525347 ;  94.00354
 0.81157724 ;  1.23660349 ;  0.5406312015 ;  0.079312397 ;  -0.104825124 ;   0.6562954 ;   5 ;   0.28162457 ;  0.95 ;  -0.59832641 ;   0.85364247 ;  All sky cond. ;  Summer ;  Dir. Beam Irrad. ;  20.838714 ;  8.310598e-09 ;  2.080594 ;  -0.001100048 ;  0.001525347 ;  45.93688
 1.13609177 ;  3.13049844 ;  0.7315084286 ;  0.025664820 ;  -0.169202216 ;   0.3629108 ;   5 ;   0.16020244 ;  0.95 ;  -0.67419129 ;   0.81494425 ;  All sky cond. ;  Autumn ;  Dir. Beam Irrad. ;  34.302556 ;  8.629545e-08 ;  2.031584 ;  -0.001100048 ;  0.001525347 ;  26.84916
 0.68675465 ;  0.19264314 ;  0.0013310607 ;  0.312183867 ;   0.287619005 ;   3.5649059 ;  28 ;   0.55873417 ;  0.95 ;   0.24848332 ;   0.76501076 ;  All sky cond. ;  Winter ;  SDR ;  24.082519 ;  1.422478e-07 ;  2.063524 ;  -0.001100048 ;  0.001525347 ;  99.86689
 0.13558102 ;  0.10800011 ;  0.2193630869 ;  0.051542928 ;   0.018837512 ;   1.2553786 ;  29 ;   0.22703068 ;  0.95 ;  -0.13844696 ;   0.53808405 ;  All sky cond. ;  Spring ;  SDR ;  44.445544 ;  7.122244e-08 ;  2.014797 ;  -0.001100048 ;  0.001525347 ;  78.06369
 0.12254214 ;  0.07116640 ;  0.0961173586 ;  0.095752508 ;   0.063457955 ;   1.7219100 ;  28 ;   0.30943902 ;  0.95 ;  -0.05720780 ;   0.60253664 ;  All sky cond. ;  Summer ;  SDR ;  23.375020 ;  1.429326e-08 ;  2.066823 ;  -0.001100048 ;  0.001525347 ;  90.38826
 0.43008790 ;  0.14676749 ;  0.0066678868 ;  0.234706338 ;   0.207374421 ;   2.9304031 ;  28 ;   0.48446500 ;  0.95 ;   0.15045605 ;   0.71920563 ;  All sky cond. ;  Autumn ;  SDR ;  21.432361 ;  6.530091e-08 ;  2.077062 ;  -0.001100048 ;  0.001525347 ;  99.33321
 1.38192183 ;  0.47202282 ;  0.0327215031 ;  0.631572385 ;   0.557886862 ;   2.9276589 ;   5 ;   0.79471529 ;  0.95 ;   0.10374528 ;   0.96828624 ;  Clear sky cond. ;  Winter ;  Dir. Beam Irrad. ;   2.626360 ;  1.006075e-10 ;  3.454560 ;  -0.001100048 ;  0.001525347 ;  96.72785
 0.74037257 ;  0.32678794 ;  0.0640530678 ;  0.461060189 ;   0.371236887 ;   2.2656056 ;   6 ;   0.67901413 ;  0.95 ;  -0.04920030 ;   0.93588305 ;  Clear sky cond. ;  Spring ;  Dir. Beam Irrad. ;  10.301296 ;  7.863983e-10 ;  2.219337 ;  -0.001100048 ;  0.001525347 ;  93.59469
 0.08936272 ;  0.51793609 ;  0.8697825795 ;  0.005918510 ;  -0.192897788 ;   0.1725362 ;   5 ;   0.07693185 ;  0.95 ;  -0.71770595 ;   0.78453839 ;  Clear sky cond. ;  Summer ;  Dir. Beam Irrad. ;  43.977473 ;  3.008701e-09 ;  2.015397 ;  -0.001100048 ;  0.001525347 ;  13.02174
 0.59226901 ;  0.65763638 ;  0.4090797040 ;  0.139575483 ;  -0.032509421 ;   0.9006026 ;   5 ;   0.37359802 ;  0.95 ;  -0.52801133 ;   0.87927891 ;  Clear sky cond. ;  Autumn ;  Dir. Beam Irrad. ;   6.328134 ;  5.778193e-10 ;  2.416482 ;  -0.001100048 ;  0.001525347 ;  59.09203
 0.35747561 ;  0.12345992 ;  0.0072627138 ;  0.230426711 ;   0.202941951 ;   2.8954791 ;  28 ;   0.48002782 ;  0.95 ;   0.14480025 ;   0.71640287 ;  Clear sky cond. ;  Winter ;  SDR ;  18.555731 ;  3.914826e-08 ;  2.096421 ;  -0.001100048 ;  0.001525347 ;  99.27373
 0.03170619 ;  0.08802992 ;  0.7213261437 ;  0.004453395 ;  -0.029875798 ;   0.3601752 ;  29 ;   0.06673376 ;  0.95 ;  -0.29457194 ;   0.41134699 ;  Clear sky cond. ;  Spring ;  SDR ;  21.333451 ;  2.053347e-08 ;  2.077636 ;  -0.001100048 ;  0.001525347 ;  27.86739
-0.09309126 ;  0.03246264 ;  0.0077723934 ;  0.227018488 ;   0.199412006 ;  -2.8676429 ;  28 ;  -0.47646457 ;  0.95 ;  -0.71414659 ;  -0.14027419 ;  Clear sky cond. ;  Summer ;  SDR ;  25.122985 ;  3.763609e-09 ;  2.059027 ;  -0.001100048 ;  0.001525347 ;  99.22276
 0.10992484 ;  0.10583575 ;  0.3078604683 ;  0.037098038 ;   0.002708682 ;   1.0386362 ;  28 ;   0.19260851 ;  0.95 ;  -0.18016234 ;   0.51700246 ;  Clear sky cond. ;  Autumn ;  SDR ;  23.968317 ;  3.050996e-08 ;  2.064043 ;  -0.001100048 ;  0.001525347 ;  69.21395
 6.41485080 ;  2.34257095 ;  0.0408706883 ;  0.599959299 ;   0.519951159 ;   2.7383806 ;   5 ;   0.77457040 ;  0.95 ;   0.05162493 ;   0.96484044 ;  Cloudy sky cond. ;  Winter ;  Dir. Beam Irrad. ;   3.673587 ;  6.097643e-09 ;  2.876497 ;  -0.001100048 ;  0.001525347 ;  95.91293
-0.73987011 ;  1.98823193 ;  0.7225892911 ;  0.022558814 ;  -0.140348050 ;  -0.3721247 ;   6 ;  -0.15019592 ;  0.95 ;  -0.77305001 ;   0.62010869 ;  Cloudy sky cond. ;  Spring ;  Dir. Beam Irrad. ;  30.848424 ;  5.577896e-08 ;  2.039920 ;  -0.001100048 ;  0.001525347 ;  27.74107
 5.00884334 ;  2.36604193 ;  0.0878420801 ;  0.472661082 ;   0.367193298 ;   2.1169715 ;   5 ;   0.68750351 ;  0.95 ;  -0.13592927 ;   0.94915534 ;  Cloudy sky cond. ;  Summer ;  Dir. Beam Irrad. ;   4.034822 ;  5.737382e-09 ;  2.767021 ;  -0.001100048 ;  0.001525347 ;  91.21579
 4.81225789 ;  2.63896390 ;  0.1278255108 ;  0.399421072 ;   0.279305287 ;   1.8235406 ;   5 ;   0.63199768 ;  0.95 ;  -0.23100092 ;   0.93842857 ;  Cloudy sky cond. ;  Autumn ;  Dir. Beam Irrad. ;   5.866708 ;  1.190887e-08 ;  2.460451 ;  -0.001100048 ;  0.001525347 ;  87.21745
 0.82540274 ;  0.18534193 ;  0.0001233487 ;  0.414627852 ;   0.393721704 ;   4.4534053 ;  28 ;   0.64391603 ;  0.95 ;   0.36932366 ;   0.81509659 ;  Cloudy sky cond. ;  Winter ;  SDR ;  14.683185 ;  8.885988e-08 ;  2.135462 ;  -0.001100048 ;  0.001525347 ;  99.98767
 0.09416513 ;  0.11637649 ;  0.4250225014 ;  0.022077811 ;  -0.011643644 ;   0.8091422 ;  29 ;   0.14858604 ;  0.95 ;  -0.21718909 ;   0.47777149 ;  Cloudy sky cond. ;  Spring ;  SDR ;  35.406503 ;  6.312643e-08 ;  2.029275 ;  -0.001100048 ;  0.001525347 ;  57.49775
-0.09831491 ;  0.11853780 ;  0.4138950009 ;  0.023978732 ;  -0.010879170 ;  -0.8293970 ;  28 ;  -0.15485068 ;  0.95 ;  -0.48790092 ;   0.21755552 ;  Cloudy sky cond. ;  Summer ;  SDR ;  37.667779 ;  6.130454e-08 ;  2.024981 ;  -0.001100048 ;  0.001525347 ;  58.61050
 0.19522538 ;  0.26066870 ;  0.4601388352 ;  0.019639151 ;  -0.015373736 ;   0.7489406 ;  28 ;   0.14013976 ;  0.95 ;  -0.23183433 ;   0.47635857 ;  Cloudy sky cond. ;  Autumn ;  SDR ;  28.418121 ;  2.186029e-07 ;  2.047050 ;  -0.001100048 ;  0.001525347 ;  53.98612
